CBG,x,y,color,TOWN,COUNTY,Bos_Neighborhood
250092526011,-6.5369635,9.346607,#386cb0,Methuen,Essex,
250092671013,-3.5584624,9.236813,#386cb0,,,
250173172031,-0.695271,2.6356492,#fdb462,Lowell,Middlesex,
250173123003,-1.6316718,2.027188,#fdb462,Lowell,Middlesex,
250235202023,13.76164,8.614072,#ef3b2c,,,
250235261004,13.65853,9.989742,#ef3b2c,,,
250173399001,0.3394742,-3.7783833,#fdb462,Medford,Middlesex,
250259815021,-2.5400739,-6.0446033,#662506,Boston,Suffolk,East Boston
250235021012,13.068625,8.776256,#ef3b2c,,,
250251207001,10.310103,0.8956604,#662506,Boston,Suffolk,Jamaica Plain
250235201002,13.338587,8.661585,#ef3b2c,,,
250173391004,1.1245447,-3.37831,#fdb462,Medford,Middlesex,
250092052005,-4.7257743,-2.7454102,#386cb0,Lynn,Essex,
250092055002,-4.670716,-2.8157303,#386cb0,Lynn,Essex,
250092663001,-3.698521,9.379776,#386cb0,Amesbury,Essex,
250173537004,4.2639046,-2.2628222,#fdb462,Cambridge,Middlesex,
250235307002,13.009461,10.976688,#ef3b2c,,,
250173152004,-1.7767,1.716694,#fdb462,,,
250173321004,-1.1179173,0.33172706,#fdb462,,,
250173383002,-0.94700676,-0.7263914,#fdb462,,,
250173333002,-1.3874277,-0.4964015,#fdb462,Woburn,Middlesex,
250092524003,-7.590604,9.437689,#386cb0,Lawrence,Essex,
250092021011,-5.701961,-2.8104084,#386cb0,Salem,Essex,
250173395002,1.3671285,-3.4768405,#fdb462,Medford,Middlesex,
250092041012,-6.155147,-2.1360042,#386cb0,Salem,Essex,
250173143013,-2.0976505,2.922942,#fdb462,Lowell,Middlesex,
250173104001,-1.8362185,2.5463462,#fdb462,Lowell,Middlesex,
250173735002,7.7825236,-0.38243493,#fdb462,Boston,Suffolk,Brighton
250092513002,-7.5362964,9.364827,#386cb0,Lawrence,Essex,
250173215002,3.177232,4.6351514,#fdb462,Marlborough,Middlesex,
250250703004,11.799636,-0.7184807,#662506,Boston,Suffolk,South End
250092044001,-6.3149467,-1.9836557,#386cb0,Salem,Essex,
250092523002,-6.9636474,9.351861,#386cb0,Lawrence,Essex,
250173834002,5.1619625,4.1131096,#fdb462,Framingham,Middlesex,
250092671021,-3.535942,9.2294855,#386cb0,,,
250173587003,-0.17999908,0.015133348,#fdb462,,,
250214222005,12.711993,7.391093,#7fc97f,Weymouth,Norfolk,
250173124001,-1.7720865,2.4639363,#fdb462,Lowell,Middlesex,
250173745004,6.471655,1.0067295,#fdb462,Newton,Middlesex,
250251404006,11.06449,2.2378807,#662506,Boston,Suffolk,Hyde Park
250173106012,-1.637503,3.036713,#fdb462,Lowell,Middlesex,
250250814003,11.298942,0.6355221,#662506,Boston,Suffolk,Roxbury
250214197001,12.594863,6.444812,#7fc97f,Braintree,Norfolk,
250173662023,4.4877906,3.964262,#fdb462,,,
250251304021,9.44464,2.448827,#662506,Boston,Suffolk,West Roxbury
250250921014,12.70487,2.0115104,#662506,Boston,Suffolk,Dorchester
250092233001,-6.91377,0.0814141,#386cb0,,,
250092033023,-6.3259788,-3.0162756,#386cb0,,,
250251703003,-1.8401455,-4.7766128,#662506,Everett,Middlesex,
250235201004,14.004202,8.81349,#ef3b2c,Brockton,Plymouth,
250235201003,13.596677,8.807603,#ef3b2c,,,
250173540003,4.179997,-2.3091023,#fdb462,Cambridge,Middlesex,
250235109003,15.394161,8.214644,#ef3b2c,Brockton,Plymouth,
250250107011,11.339451,-1.0680972,#662506,Boston,Suffolk,Back Bay
250173311023,-2.197264,0.5324836,#fdb462,,,
