"term","estimate","std.error","statistic","p.value","phy_quantile"
"(Intercept)",2.94098119150714,0.111059526483773,26.4811248941966,1.59914953901028e-154,1
"RACE_DISTANCE",0.149573621045881,0.0256353258691991,5.83466821561235,5.38977080517809e-09,1
"HOUSING_PRICE_DISTANCE",0.136077540034664,0.0216995151328664,6.27099449925308,3.58749293956606e-10,1
"PUBLIC_COMMUTE_DISTANCE",-0.212187196053619,0.0228153314675405,-9.30020220637597,1.40178838162742e-20,1
"Log_POI_INTER_OPP",0.659542686960899,0.0155758251082203,42.3439966986288,0,1
"POI_JS_DISTANCE",0.243187248699791,0.0153575874492405,15.8349903266751,1.78486606598531e-56,1
"Log_HIGHWAY_NUM",0.216459458095968,0.0337730570777275,6.40923495903241,1.46251655642017e-10,1
"Log_PARK_NUM",0.0766048564199032,0.0315892395128671,2.42503009256364,0.0153071178707818,1
"Log_RAILWAY_NUM",0.168215753098488,0.0340835399536136,4.93539559938383,7.99884596248615e-07,1
"Log_WATER_NUM",0.405746468011897,0.0656715871967067,6.17841726280439,6.47474047197158e-10,1
"diff_county",0.253511058329217,0.116576072343616,2.17464058646594,0.0296570603853938,1
"(Intercept)",2.25933749306193,0.0439839512280469,51.3673153498141,0,2
"RACE_DISTANCE",0.179209405551186,0.0132676533020814,13.5072421226949,1.41732125370915e-41,2
"HOUSING_PRICE_DISTANCE",0.184832566817643,0.0125144159873336,14.7695719084871,2.30170255823809e-49,2
"PUBLIC_COMMUTE_DISTANCE",-0.173214224631597,0.0134701890048689,-12.8590790054236,7.64825030461458e-38,2
"Log_POI_INTER_OPP",0.822221146142361,0.010823654343246,75.9652073197836,0,2
"POI_JS_DISTANCE",0.14658590495686,0.00997046329167038,14.7020154097876,6.25693817857809e-49,2
"Log_HIGHWAY_NUM",0.154493634142992,0.0148302072981697,10.4174966024958,2.0631215625867e-25,2
"Log_PARK_NUM",0.0309859697605138,0.0153535470243064,2.01816360163938,0.0435742255428363,2
"Log_RAILWAY_NUM",0.038264746069834,0.015281966082649,2.50391512864824,0.0122827494053211,2
"Log_WATER_NUM",0.477110240642489,0.0235387403954614,20.2691491824466,2.40783601235291e-91,2
"diff_county",0.773912873198479,0.045611704381361,16.9674184224244,1.43085453960494e-64,2
"(Intercept)",1.38166213522234,0.0274289957083491,50.3723194940666,0,3
"RACE_DISTANCE",0.165468565234746,0.0098637798762811,16.7753708324979,3.69544864482338e-63,3
"HOUSING_PRICE_DISTANCE",0.227132580781513,0.00963098121300291,23.5835348193659,5.68754700043323e-123,3
"PUBLIC_COMMUTE_DISTANCE",-0.0442099326280834,0.0102664181771611,-4.3062664957905,1.66033016110114e-05,3
"Log_POI_INTER_OPP",0.762292272850128,0.00953668003771969,79.9326673260604,0,3
"POI_JS_DISTANCE",0.00184759574588742,0.00829323953705871,0.222783357170784,0.823704121559777,3
"Log_HIGHWAY_NUM",0.166505113938876,0.0103676033286442,16.0601354682279,4.85489801868729e-58,3
"Log_PARK_NUM",-0.0932192470660788,0.0114215126015389,-8.16172518633989,3.30272955205343e-16,3
"Log_RAILWAY_NUM",0.0202967400429417,0.0111020046126193,1.82820497298939,0.0675187949568642,3
"Log_WATER_NUM",0.366013680045927,0.015630629246,23.4164392415355,2.90646549518814e-121,3
"diff_county",0.903152249203401,0.0277587053318538,32.5358203275789,3.32298654386329e-232,3
"(Intercept)",0.800213163888773,0.0197317638926876,40.5545681694136,0,4
"RACE_DISTANCE",0.206843574776868,0.00809895234967908,25.5395470730315,7.17407831336891e-144,4
"HOUSING_PRICE_DISTANCE",0.227503696330495,0.00813088969954643,27.9801724949222,2.83218591094274e-172,4
"PUBLIC_COMMUTE_DISTANCE",0.00802847695170134,0.00861918389349316,0.931466024035319,0.351612551764902,4
"Log_POI_INTER_OPP",0.665985811381688,0.00863816806492683,77.0980381923524,0,4
"POI_JS_DISTANCE",-0.0285752136033422,0.00727501309809077,-3.92785734101858,8.57060218457882e-05,4
"Log_HIGHWAY_NUM",0.117301754781023,0.00859005799423169,13.6555253596416,1.87134845332073e-42,4
"Log_PARK_NUM",-0.142302860023731,0.00946703361917589,-15.0314095996754,4.57172764167218e-51,4
"Log_RAILWAY_NUM",0.045309087467164,0.00913380545458477,4.96059256926924,7.02784601152925e-07,4
"Log_WATER_NUM",0.228800515371929,0.0122286154182222,18.7102552126209,4.08414594565379e-78,4
"diff_county",0.744292324185795,0.0204113363329074,36.4646543492518,4.03041048890467e-291,4
"(Intercept)",0.438883397560395,0.0149416716023114,29.3731122756373,1.21129911475067e-189,5
"RACE_DISTANCE",0.222085310871463,0.00690591044617358,32.1587302068934,6.66861316893933e-227,5
"HOUSING_PRICE_DISTANCE",0.143452427993949,0.00698900597123913,20.5254407542758,1.27601044465996e-93,5
"PUBLIC_COMMUTE_DISTANCE",0.0219269682574111,0.00778727368406501,2.81574388508778,0.00486644446594906,5
"Log_POI_INTER_OPP",0.556674987593892,0.00790652718015699,70.4070162423496,0,5
"POI_JS_DISTANCE",-0.0529616434141275,0.00658626811311459,-8.04122190359517,8.89470152286234e-16,5
"Log_HIGHWAY_NUM",0.0938329388112241,0.00755188778765021,12.4250970684008,1.9099445861885e-35,5
"Log_PARK_NUM",-0.173818054147987,0.00833666922009023,-20.8498201810753,1.52996396540493e-96,5
"Log_RAILWAY_NUM",0.0903999406327584,0.00785293695949383,11.5116091086748,1.1530659345842e-30,5
"Log_WATER_NUM",0.174553517610414,0.0101212919257494,17.2461696481983,1.1956818624601e-66,5
