"","Full","No.Demographics","No.POI","No.PhyDist","No.Admin","LR.Stat..No.Demo.","LR.Stat..No.POI.","LR.Stat..No.PhyDist.","LR.Stat..No.Admin.","p_value..No.Demo.","p_value..No.POI.","p_value..No.PhyDist.","p_value..No.Admin."
"1",-14288.7316799256,-14319.8123246321,-14585.5189459023,-14333.5487561281,-14297.5968445503,62.1612894129066,593.574531953269,89.6341524049058,17.7303292493743,2.02942438938779e-13,1.27916947489116e-129,1.57477489132492e-18,2.54535835330286e-05
"2",-33781.0284930368,-33966.9654671483,-35612.6251643789,-34064.9813400483,-33923.3581078471,371.873948222943,3663.1933426842,567.905694022891,284.659229620593,2.73463444589166e-80,0,1.36652764723359e-121,7.24934237197946e-64
"3",-46535.5559164903,-46836.3885878005,-48856.9280475057,-46954.9864261924,-47130.265430628,601.665342620414,4642.74426203086,838.861019404285,1189.41902827534,4.3890291256484e-130,0,2.93317732336757e-180,1.21576021648942e-260
"4",-58472.052371387,-58893.5907934643,-60666.6553918706,-58752.3723203106,-59331.0850642361,843.076844154552,4389.20604096708,560.639897847112,1718.06538569814,1.96597160391745e-182,0,5.10262373665428e-120,0
"5",-70406.6905496454,-70948.8557078985,-72179.5476989892,-70829.9845178352,-71086.5128381858,1084.33031650633,3545.71429868767,846.587936379685,1359.64457708079,9.13238723020981e-235,0,6.21487288161375e-182,1.23549201719755e-297
"6",-80661.1520937247,-81262.3367352419,-82110.9557541471,-81187.1118423321,-81157.5574490272,1202.36928303444,2899.60732084472,1051.91949721478,992.810710604972,2.24464327409112e-260,0,1.99692116419013e-226,6.56090721910898e-218
"7",-89687.8683411409,-90296.0996176779,-91265.0821353098,-90281.8895268593,-89977.7988373911,1216.46255307386,3154.42758833771,1188.04237143681,579.860992500355,1.96498340881633e-263,0,6.22887101718847e-256,4.02084837335024e-128
"8",-97946.0851399417,-98316.8538208878,-99883.2648585839,-98658.185681772,-98213.7077768103,741.537361892202,3874.35943728432,1424.20108366047,535.24527373712,2.06442386257465e-160,0,3.90674341901042e-307,2.04089930815678e-118
"9",-106595.686526115,-106789.919797991,-108962.128897074,-107255.723344904,-106784.382381001,388.466543753195,4732.88474191778,1320.07363757867,377.391709771997,6.97095662621432e-84,0,1.47869088757974e-284,4.60078665607211e-84
"10",-113767.439879401,-113941.177917348,-116537.834798173,-114285.360050322,-113890.021300798,347.476075893879,5540.78983754283,1035.84034184177,245.162842794321,5.25019992912263e-75,0,6.09857339933757e-223,2.94458501890206e-55
"11",-120587.792874261,-120776.287339284,-123571.315714505,-120905.938226409,-120644.85231654,376.988930044638,5967.04568048773,636.290704294428,114.118884556752,2.13376109037765e-81,0,2.16380262485843e-136,1.22725475539691e-26
"12",-128032.245128275,-128201.604068276,-131090.55489722,-128213.615021819,-128067.396964735,338.717880001961,6116.61953789019,362.739787088358,70.3036729194864,4.13506709512722e-73,0,3.11178221971434e-77,5.08429437020634e-17
"13",-134824.053282025,-135024.496264553,-137878.706466566,-134946.356921194,-134836.884733509,400.885965056485,6109.30636908161,244.607278338401,25.6629029682954,1.42314303373215e-86,0,9.44452861205524e-52,4.065679268611e-07
"14",-140733.230701401,-140919.852615149,-143697.553459577,-140846.839396117,-140737.182493673,373.243827496539,5928.64551635215,227.217389430967,7.90358454268426,1.38110902397122e-80,0,5.24310258638323e-48,0.00493369320687087
"15",-145454.211664706,-145559.207944752,-148459.143721359,-145565.146193812,-145473.835015592,209.992560092011,6009.86411330628,221.869058213779,39.2467017732561,2.92274239711898e-45,0,7.42523550965289e-47,3.73498762430097e-10
"16",-149842.50212743,-149917.573348401,-152889.157597751,-149962.250233993,-149864.740817931,150.142441941658,6093.31094064302,239.496213125822,44.477381003031,2.45492920870224e-32,0,1.19107313939948e-50,2.57312936289975e-11
"17",-154066.08544261,-154108.015339448,-156813.670561584,-154156.218025515,-154087.910280158,83.8597936769365,5495.17023794819,180.265165811463,43.6496750960941,4.55914437684444e-18,0,6.54018877177324e-38,3.92742324097907e-11
"18",-156631.799581936,-156671.54980793,-159758.774289279,-156771.512629314,-156651.667080367,79.5004519865615,6253.94941468502,279.426094754774,39.7349968613707,3.92811618938872e-17,0,2.96298083651796e-59,2.90866437976654e-10
"19",-158777.653915323,-158805.231950406,-162022.540133428,-158947.139557323,-158820.772752359,55.1560701658018,6489.77243621065,338.971283999505,86.2376740709879,6.35943348120033e-12,0,4.21704977391192e-72,1.59558815407251e-20
"20",-160291.527130072,-160323.979519242,-163429.329838648,-160512.77174494,-160447.846298063,64.9047783402493,6275.60541715246,442.48922973685,312.638335982163,5.25687819324936e-14,0,1.8260634269921e-94,5.81418279033148e-70
