"term","estimate","std.error","statistic","p.value","phy_quantile"
"(Intercept)",2.22339680305242,0.115021128464403,19.3303337633357,2.98480841368153e-83,1
"RACE_DISTANCE",0.270072294369596,0.0264506652181207,10.2104159627931,1.78099674343363e-24,1
"HOUSING_PRICE_DISTANCE",0.107110938827214,0.0221315825025997,4.83973248702987,1.3001401724283e-06,1
"PUBLIC_COMMUTE_DISTANCE",-0.163761822495984,0.0238831180489385,-6.85680245604538,7.04188994172785e-12,1
"Log_Transportation",0.00610169479000543,0.0179192658925503,0.340510310332641,0.733472259673303,1
"Log_Entertainment",0.0389641812063509,0.0271853644917383,1.43327786604414,0.151778444800192,1
"Log_Shopping",0.43337010372766,0.0249732125723374,17.3533982651355,1.85913675137843e-67,1
"Log_Sports",-0.0181587906774473,0.0251907182523552,-0.72085243840753,0.471000308176988,1
"Log_ArtsMuseum",-0.0916114721435715,0.0362515653081657,-2.52710390199167,0.0115007472614984,1
"Log_Grocery",-0.257772247408251,0.0242157196625217,-10.6448311675495,1.84318103857055e-26,1
"Log_Office",0.328940783635815,0.0276464731572586,11.8981101771909,1.21057549711708e-32,1
"Log_College",0.471500339989285,0.0273430911501991,17.2438564973972,1.24450788895486e-66,1
"Log_Service",-0.299967541613784,0.0218254516709973,-13.7439328237314,5.53836765539894e-43,1
"Log_HIGHWAY_NUM",0.236644987990381,0.0346852127207417,6.82264773451619,8.93776363326122e-12,1
"Log_PARK_NUM",0.0414190709563814,0.032638940281029,1.26900783541847,0.204438269488221,1
"Log_RAILWAY_NUM",0.218693638387577,0.035577426277085,6.14697748747594,7.89733326130879e-10,1
"Log_WATER_NUM",0.338519352982705,0.066236071241288,5.11080060514957,3.20796427231754e-07,1
"diff_county",0.279694789182857,0.118536212193219,2.35957252225119,0.0182960043256609,1
"(Intercept)",1.61189045267703,0.0468167007283008,34.4298173002745,9.02869982529716e-260,2
"RACE_DISTANCE",0.306046937331159,0.0140025549166331,21.8565068413063,6.74095555993101e-106,2
"HOUSING_PRICE_DISTANCE",0.149759975649263,0.0127062322830003,11.7863401450347,4.59059679761977e-32,2
"PUBLIC_COMMUTE_DISTANCE",-0.0965231417768533,0.0142202000380278,-6.78774852102852,1.13896955086001e-11,2
"Log_Transportation",-0.120670249057358,0.0118284209343182,-10.2017208998078,1.94790007970073e-24,2
"Log_Entertainment",-0.0262755114436092,0.0178147675338463,-1.47492867328683,0.140231720576288,2
"Log_Shopping",0.584027488855212,0.0186333740958906,31.3430882592548,1.20852874406034e-215,2
"Log_Sports",0.121160762377521,0.0172022468267798,7.04331030693637,1.8772551427626e-12,2
"Log_ArtsMuseum",0.0736138493351693,0.0198112072755794,3.71576796462628,0.000202587434511785,2
"Log_Grocery",-0.211756401775021,0.0165202459444106,-12.8179932966837,1.30022152461949e-37,2
"Log_Office",0.261573018259315,0.0194374386209637,13.457175266766,2.79394401726796e-41,2
"Log_College",0.280808854245366,0.0160672772909825,17.4770652898961,2.14245511592645e-68,2
"Log_Service",-0.192130421810471,0.0168359815690117,-11.4118930947338,3.6470434670304e-30,2
"Log_HIGHWAY_NUM",0.159966053454114,0.0151775216576109,10.5396689303288,5.66981416201828e-26,2
"Log_PARK_NUM",-0.0133656245448961,0.0160295315132398,-0.833812549908686,0.404386622194012,2
"Log_RAILWAY_NUM",0.0624105780403003,0.0159208540245349,3.92005214947152,8.85298095631573e-05,2
"Log_WATER_NUM",0.34756014505034,0.0238999987364139,14.5422662521233,6.5391416912203e-48,2
"diff_county",0.756746750723975,0.0458147282098922,16.5175431633485,2.74348196300852e-61,2
"(Intercept)",1.02901099674547,0.0301126394432537,34.1720624883981,6.28900039046698e-256,3
"RACE_DISTANCE",0.257620336223723,0.0104270916282005,24.7068257774755,9.03282449181011e-135,3
"HOUSING_PRICE_DISTANCE",0.187967808457948,0.00972680800125574,19.3247166422614,3.32806050491718e-83,3
"PUBLIC_COMMUTE_DISTANCE",0.000411348863856471,0.0107143810712664,0.0383922189364367,0.969374964799181,3
"Log_Transportation",-0.112640407630975,0.0106641844302864,-10.5624962103126,4.44676805707403e-26,3
"Log_Entertainment",-0.0153188667635568,0.0155730666822528,-0.983676951760199,0.325274375749081,3
"Log_Shopping",0.45661607166087,0.0172110370303404,26.5304217785323,4.32127458922031e-155,3
"Log_Sports",0.0881762290793819,0.0154834404405861,5.69487313996761,1.23463686721615e-08,3
"Log_ArtsMuseum",0.0785962317930439,0.0153476592157209,5.1210566177112,3.03828399116825e-07,3
